Function	Size		Yosys-ABC							PCF					Synopsys					
																				
			XOR	IV	XOR+IV	NOR	Total	Weight		XOR	Non-XOR	Total	Weight		XOR	IV	XOR+IV	NOR	Total	Weight
																				
Hamming	160		981	1,373	2,354	1,571	3,925	10,209		3,488	880	4,368	7,888		496	332	828	486	1,656	3,258
	1,600		15,378	23,243	38,621	22,384	61,005	150,541		26,537	6,375	32,912	58,412		4,825	3,126	7,951	4,810	15,902	32,001
																				
Sum	128		255	258	513	382	895	2,423		1,098	345	1,443	2,823		370	486	856	384	1,712	2,776
	256		511	514	1,025	766	1,791	4,855		2,230	721	2,951	5,835		756	1,002	1,758	768	3,516	5,598
	1,024		2,047	2,050	4,097	3,070	7,167	19,447		9,022	2,977	11,999	23,907							
																				
Mult	64		15,503	4,348	19,851	16,064	35,915	100,171		81,114	24,766	105,880	204,944		8,028	7,337	15,365	16,593	30,730	98,330
	128		63,759	16,892	80,651	64,896	145,547	405,131		322,814	100,250	423,064	824,064		32,489	27,891	60,380	66,070	120,760	390,730
																				
alu	4		41	111	152	195	347	1,127							26	81	107	163	214	922
	8		211	346	557	685	1,242	3,982							139	220	359	422	718	2,469
																				
Matmult	2x2														7817	7109	14,926	15223	29,852	91,041
	3x3									65,592	27369	92961	202,437		26574	24213	50,787	51620	101,574	308,887
	5x5									306,250	127225	433475	942,375		123383	112266	235,649	239717	471,298	1,434,234

