Function	Size		Yosys-ABC							PCF					Synopsys					
																				
			XOR	IV	XOR+IV	NOR	Total	Weight		XOR	Non-XOR	Total	Weight		XOR	IV	XOR+IV	NOR	Total	Weight
																				
Hamming	160		981	1,373	2,354	1,571	3,925	10,209		3,488	880	4,368	7,888		496	332	828	486	1656	3258
	1,600		15,378	23,243	38,621	22,384	61,005	150,541		26,537	6,375	32,912	58,412		4825	3126	7951	4810	15902	32001
																				
Sum	128		255	258	513	382	895	2,423		1,098	345	1,443	2,823		370	486	856	384	1712	2776
	256		511	514	1,025	766	1,791	4,855		2,230	721	2,951	5,835		756	1002	1758	768	3516	5598
	1,024		2,047	2,050	4,097	3,070	7,167	19,447		9,022	2,977	11,999	23,907							
																				
Mult	64		15,503	4,348	19,851	16,064	35,915	100,171		81,114	24,766	105,880	204,944		8028	7337	15365	16593	30730	98330
	128		63,759	16,892	80,651	64,896	145,547	405,131		322,814	100,250	423,064	824,064		32489	27891	60380	66070	120760	390730

